timestamp,model,quant,engine,dataset,config,num_requests,backend,dtype,quantization,kv_cache_dtype,max_input_length,max_sequence_length,tp_size,pp_size,isl_average,osl_average,seq_average,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,system_total_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,latency_ms_average,latency_ms_p50,latency_ms_p90,latency_ms_p95,latency_ms_p99,ttft_ms_average,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_average,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gen_tps_average,gen_tps_p50,gen_tps_p90,gen_tps_p95,gen_tps_p99,gpu_util_peak_pct,gpu_memory_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
20260419_233412,Qwen25_3B,W16A16,Qwen25_3B/W16A16,Qwen_Synthetic_short_in_short_out_256_256_16_16.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,,3072,6144,1,1,256,256,513,25766.317305,2576.6039456,0.38810358040803455,108.51376108208646,208.21757088891053,110.09730747141786,46.761356,9.08370035269675,2576.6039456,2596.380478,2610.817576,2610.817576,2610.817576,46.761356,47.625679999999996,54.857490999999996,54.857490999999996,54.857490999999996,9.08370035269675,9.05353769858156,9.341444076612902,9.341444076612902,9.341444076612902,110.09730747141786,110.50605882854465,110.71937492558662,110.71937492558662,110.71937492558662,99.0,96.0,22493.0,377.19
20260420_001540,Qwen25_3B,W16A16,Qwen25_3B/W16A16,Qwen_Synthetic_short_in_short_out_256_256_16_16.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,,3072,6144,1,1,256,256,513,24990.598361,2499.0396383,0.4001504828154043,111.88207499518703,214.68073403046438,113.43886397339854,43.0037635,8.815358947017273,2499.0396383,2527.045694,2539.684722,2539.684722,2539.684722,43.0037635,43.801736,46.775723,46.775723,46.775723,8.815358947017273,8.813783971631207,8.849128861702127,8.849128861702127,8.849128861702127,113.43886397339854,113.49105717051356,113.74000623788108,113.74000623788108,113.74000623788108,99.0,98.0,22438.0,383.86
20260420_001633,Qwen25_3B,W16A16,Qwen25_3B/W16A16,Qwen_Synthetic_long_in_short_out_2560_256_128_16.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,,3072,6144,1,1,2564,256,2821,29430.968954,2943.0746775999996,0.339778143751563,95.00196899293701,966.2271073863197,109.91021495515355,408.1481056,9.09850103926447,2943.0746775999996,2978.8150499999997,3006.215504,3006.215504,3006.215504,408.1481056,402.606266,443.854695,443.854695,443.854695,9.09850103926447,9.08776480141844,9.208046861702128,9.208046861702128,9.208046861702128,109.91021495515355,110.05475849049328,110.25460261826564,110.25460261826564,110.25460261826564,100.0,96.0,22438.0,386.2
20260420_001731,Qwen25_3B,W16A16,Qwen25_3B/W16A16,Qwen_Synthetic_short_in_long_out_256_2560_16_128.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,,3072,6144,1,1,256,2564,2821,247821.98762899998,24782.152986099998,0.04035154465377956,110.894115017517,121.26042683907295,111.04652252800655,42.51034129999999,9.005250697812308,24782.152986099998,25027.229423,25094.389627999997,25094.389627999997,25094.389627999997,42.51034129999999,41.540876,45.821323,45.821323,45.821323,9.005250697812308,9.002900525045044,9.026511100900901,9.026511100900901,9.026511100900901,111.04652252800655,111.08042402205162,111.24579613145744,111.24579613145744,111.24579613145744,99.0,97.0,22438.0,388.35
20260420_002229,Qwen25_3B,W16A16,Qwen25_3B/W16A16,Qwen_Synthetic_long_in_long_out_2560_2560_128_128.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,,3072,6144,1,1,2564,2564,5128,257031.062472,25703.058861499998,0.038905803461359315,106.92092907250766,206.6792997277791,108.6408387406129,415.34820389999993,9.204694445557603,25703.058861499998,25973.34819,26100.342955,26100.342955,26100.342955,415.34820389999993,412.340665,450.45206099999996,450.45206099999996,450.45206099999996,9.204694445557603,9.211173882882884,9.245329904864864,9.245329904864864,9.245329904864864,108.6408387406129,108.63170741500927,109.07842139872261,109.07842139872261,109.07842139872261,100.0,96.0,22438.0,389.34
20260420_002735,Qwen25_3B,W16A16_INT8KV,Qwen25_3B/W16A16_INT8KV,Qwen_Synthetic_short_in_short_out_256_256_16_16.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,INT8,3072,6144,1,1,256,256,513,25237.946047999998,2523.7745840999996,0.3962287573236356,110.78556054768852,212.57672830413048,112.32502634231543,43.309053899999995,8.902789605424958,2523.7745840999996,2553.957795,2568.133988,2568.133988,2568.133988,43.309053899999995,43.85512,46.45509,46.45509,46.45509,8.902789605424958,8.901914868794325,8.945823265957447,8.945823265957447,8.945823265957447,112.32502634231543,112.3382362859935,112.87753936099992,112.87753936099992,112.87753936099992,99.0,96.0,22438.0,389.55
20260420_002832,Qwen25_3B,W16A16_INT8KV,Qwen25_3B/W16A16_INT8KV,Qwen_Synthetic_long_in_short_out_2560_256_128_16.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,INT8,3072,6144,1,1,2564,256,2821,30430.313598999997,3043.0097459,0.3286196827208715,91.88206328875566,934.4957917533422,106.0372480307358,414.93960269999997,9.432326332935828,3043.0097459,3079.713487,3153.445323,3153.445323,3153.445323,414.93960269999997,410.834568,449.23875699999996,449.23875699999996,449.23875699999996,9.432326332935828,9.46410964184397,9.637715741134752,9.637715741134752,9.637715741134752,106.0372480307358,105.66671564768582,109.49955248290078,109.49955248290078,109.49955248290078,100.0,95.0,22438.0,389.95
20260420_002931,Qwen25_3B,W16A16_INT8KV,Qwen25_3B/W16A16_INT8KV,Qwen_Synthetic_short_in_long_out_256_2560_16_128.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,INT8,3072,6144,1,1,256,2564,2821,249861.97954,24986.1500294,0.040022095472108894,109.98872277644966,120.27039910323444,110.14677772409979,43.1375742,9.078854200194542,24986.1500294,25249.899488,25354.158371999998,25354.158371999998,25354.158371999998,43.1375742,42.195527999999996,46.424817999999995,46.424817999999995,46.424817999999995,9.078854200194542,9.08258683063063,9.120165034234235,9.120165034234235,9.120165034234235,110.14677772409979,110.1739548555376,110.84178138025794,110.84178138025794,110.84178138025794,99.0,96.0,22438.0,390.07
20260420_003430,Qwen25_3B,W16A16_INT8KV,Qwen25_3B/W16A16_INT8KV,Qwen_Synthetic_long_in_long_out_2560_2560_128_128.txt,base_config.json,10,TRT,bfloat16,NO_QUANT,INT8,3072,6144,1,1,2564,2564,5128,273107.385589,27310.6938441,0.03661563373115447,100.62708461995874,194.51323107001193,102.16147800572419,417.21597499999996,9.788696094858434,27310.6938441,27625.091990999998,27847.432547,27847.432547,27847.432547,417.21597499999996,411.800751,453.13897799999995,453.13897799999995,453.13897799999995,9.788696094858434,9.807010858378378,9.877270086126126,9.877270086126126,9.877270086126126,102.16147800572419,102.08694967247496,103.04199661910417,103.04199661910417,103.04199661910417,100.0,95.0,22438.0,389.71
20260420_003955,Qwen25_3B,W8A16,Qwen25_3B/W8A16,Qwen_Synthetic_short_in_short_out_256_256_16_16.txt,base_config.json,10,TRT,bfloat16,W8A16,,3072,6144,1,1,256,256,513,15954.789759,1595.4573320999998,0.6267710293304906,175.24517980080518,336.2626572358082,177.73704527875398,27.930093,5.626329177882636,1595.4573320999998,1611.876742,1629.109597,1629.109597,1629.109597,27.930093,26.951347,31.230752,31.230752,31.230752,5.626329177882636,5.621828982269503,5.6662370390070915,5.6662370390070915,5.6662370390070915,177.73704527875398,177.97641898407286,178.12857186278464,178.12857186278464,178.12857186278464,99.0,85.0,22172.0,378.66
